name,Control,CIP,FDR,AveExpr,P value,CTRL1,CTRL2,CIP1,CIP2,CTRL1 CPM,CTRL2 CPM,CIP1 CPM,CIP2 CPM
cueR,0,-0.809931302387048,0.00871838032113646,5.35742462414683,0.00118915337241894,242,616,195,207,53.754,61.740,26.365,32.032
fadL,0,0.6836980233229,0.00871838032113646,7.18045721821309,0.00119035774174534,601,1131,1394,1001,133.495,113.357,188.473,154.897
ygeV,0,-1.13707936530745,0.00871838032113646,3.32646892079169,0.00119210506431866,80,145,49,37,17.770,14.533,6.625,5.725
ydfH,0,-0.579770814914115,0.00873528701475261,6.72283428326106,0.00119837837730733,610,1406,614,506,135.495,140.919,83.015,78.300
srmB,0,0.598802792454974,0.00873528701475261,7.50487649175388,0.00119653763318216,682,1641,1636,1274,151.487,164.472,221.192,197.142
ybjT,0,0.647165978908927,0.00874014392197138,6.48673053142356,0.00120102657975389,386,694,784,659,85.739,69.557,105.999,101.975
yjeT,0,1.02808559946868,0.00875898836571145,4.06983579374935,0.00120560225351176,69,107,172,132,15.326,10.724,23.255,20.426
yaiO,0,-1.41060556643412,0.00876610519203476,2.42605156556524,0.00120856960470683,40,96,23,19,8.885,9.622,3.110,2.940
ugpQ,0,0.816245119627841,0.00891960545118974,5.48247159745195,0.00123175503849763,192,312,422,337,42.647,31.271,57.056,52.148
patA,0,0.713871182227077,0.00897342140837345,10.5294773984989,0.00124122155535324,4948,13930,13048,11391,1099.061,1396.161,1764.130,1762.671
rlmA,0,-0.710327823840506,0.00898227449713682,5.81033003964097,0.00124587807578815,388,693,304,259,86.183,69.457,41.102,40.078
yibX,0,5.42681600944282,0.00898227449713682,-0.685525434260317,0.00124651972613327,0.549088,4.59016e-8,17.5411,33.41,0.122,0.000,2.372,5.170
malF,0,0.99641900284981,0.0090745427170407,4.27710077798863,0.00126138201486303,71,138,216,141,15.771,13.831,29.204,21.819
modB,0,0.853876689409984,0.00907544397703971,4.68533541488202,0.0012656231396552,82,223,254,200,18.214,22.351,34.342,30.948
eutC,0,0.979603265107543,0.00907544397703971,3.83842931767741,0.0012641690812613,57,96,141,114,12.661,9.622,19.064,17.641
yhfA,0,-0.600334793948718,0.00915429804459196,6.01745679526498,0.00127869559987951,396,829,365,314,87.960,83.088,49.349,48.589
ppnN,0,0.526642225567038,0.0091556633282164,8.5193440563286,0.00128096242029694,1529,3153,2933,2750,339.625,316.015,396.551,425.542
aqpZ,0,-0.821556645995945,0.00917055149872329,4.71438973879679,0.0012854574073494,181,348,124,129,40.204,34.879,16.765,19.962
ppsR,0,-0.692468259761597,0.00917055149872329,5.15772608583128,0.00128720439403848,228,466,188,173,50.644,46.706,25.418,26.770
ltaE,0,0.534476477271703,0.00922804793151994,7.40658469095165,0.00129736728288942,696,1473,1457,1189,154.597,147.634,196.991,183.989
lptB,0,0.564520382507177,0.00922913715727836,7.6851800029157,0.00130126832855042,775,1899,1754,1490,172.145,190.331,237.146,230.566
bioP,0,0.650190711859794,0.00922913715727836,5.7069039667855,0.00130170596640071,214.732,420,463.808,379.817,47.697,42.095,62.708,58.774
modA,0,0.733524528709363,0.00923414808181675,5.18348631572026,0.00130450663378046,133,304,301,305,29.542,30.469,40.696,47.196
bluF,0,0.551040319609092,0.00923838852253954,8.82752460006427,0.00130750069549954,1850,3928,3565,3528,410.926,393.691,481.999,545.931
lhr,0,0.556904842917489,0.00923838852253954,6.95295918356816,0.00131221333006627,525,1029,1039,899,116.614,103.133,140.476,139.113
mgrB,0,-0.82314001031446,0.00923838852253954,5.88548432368309,0.00131348517089168,443,730,282,286,98.400,73.166,38.127,44.256
mqsR,0,-0.876194346687831,0.00923838852253954,4.32475014126785,0.00131322831054556,146,264,104,85,32.430,26.460,14.061,13.153
sufE,0,0.655513186738292,0.00930579420005116,6.0863749181668,0.00132517885660592,282,539,551,544,62.638,54.022,74.497,84.180
yqgF,0,0.586023005674907,0.0093186992014756,6.23812734984638,0.00132912965934879,290,670,638,560,64.415,67.152,86.260,86.656
slyA,0,-0.724459118637306,0.00933551588697507,7.84189343538383,0.00133364512671072,1268,3530,1153,1151,281.651,353.801,155.889,178.109
rcnB,0,-0.720680392041987,0.00934803649797993,5.53797419386922,0.00133755352159305,314,588,232,232,69.746,58.933,31.367,35.900
yagJ,0,-0.955099646860013,0.00938581816932415,4.95996011237289,0.00134508777392582,251,394,142,142,55.753,39.489,19.199,21.973
talA,0,0.524609210909556,0.00940703079072931,9.88107589289151,0.00135026088220672,3963,8042,7656,6955,880.271,806.025,1035.115,1076.234
ybgC,0,-0.625306345455518,0.00944457896438381,5.84716326487857,0.00135779207787287,341,770,332,269,75.744,77.175,44.887,41.626
yjcH,0,1.07328069172934,0.00946724747490035,3.59385880517464,0.00136319776566025,47,78,129,94,10.440,7.818,17.441,14.546
insO,0,-1.14844026709667,0.00955663519568406,3.89396908632579,0.00137823582413947,92.5738,261.126,59.3759,71.4239,20.563,26.172,8.028,11.052
glpQ,0,-0.702598690369207,0.00970636116372335,5.46417263560073,0.00140202994587115,277,588,218,228,61.528,58.933,29.474,35.281
ispH,0,0.513000945324661,0.00971950697866179,7.66273579115185,0.00140613275564313,850,1747,1658,1468,188.804,175.096,224.167,227.162
sbp,0,-0.959976952513911,0.00973147689310124,7.25377398400915,0.00141007114165344,865,2692,865,577,192.136,269.811,116.951,89.286
aceE,0,0.543671501619482,0.00974661197557031,11.834019858284,0.00141592381251594,15375,30658,30312,26693,3415.130,3072.757,4098.277,4130.540
ybjG,0,-1.01890780770752,0.00974661197557031,4.77989958123584,0.00142110464859222,229,352,119,126,50.866,35.280,16.089,19.498
lrhA,0,-0.755824329654101,0.00974661197557031,6.48996831341809,0.0014210541874123,659,1081,495,396,146.379,108.345,66.926,61.278
waaQ,0,0.528426516102601,0.00974661197557031,7.39985991752063,0.00141895783182865,683,1491,1350,1268,151.710,149.438,182.524,196.213
rsmB,0,0.583231258527036,0.00982727553214561,8.18956050981429,0.00143509420469428,1072,2731,2515,2116,238.115,273.720,340.036,327.435
rapZ,0,0.523181389817415,0.00985797498375869,8.28600554643569,0.00144393052901925,1317,2656,2671,2179,292.535,266.203,361.128,337.184
viaA,0,0.7233108668734,0.00985797498375869,6.30212461167664,0.00144553880139846,279,690,783,550,61.972,69.157,105.864,85.108
coaA,0,-0.886902607519264,0.00985797498375869,6.0866611488681,0.00144628340464668,533,843,380,267,118.391,84.491,51.377,41.316
ribC,0,-0.529687367557936,0.00985971112874419,7.24070612501843,0.00145055776735805,865,1965,851,775,192.136,196.946,115.058,119.925
dppA,0,0.564653934621251,0.00985971112874419,11.0948407029081,0.00145100964230272,9397,17731,18511,15927,2087.283,1777.123,2502.745,2464.583
atpF,0,0.668456287159012,0.0098775848798386,10.2600711177751,0.00145587985757258,4217,11608,10527,9419,936.690,1163.434,1423.283,1457.519
putA,0,-0.661002318763288,0.00989113835382422,5.9596691167337,0.00146012042365977,417,764,332,303,92.625,76.573,44.887,46.887
poxB,0,0.645677645463451,0.00990962375538973,9.56328806801845,0.00146509630125036,2644,7154,6393,5814,587.291,717.023,864.354,899.673
yibQ,0,0.660143958372504,0.00992034478160312,6.01583311304804,0.00146893087128953,242,561,609,453,53.754,56.227,82.339,70.098
narY,0,-0.633032749423257,0.00993382498870285,5.82925195967239,0.00147361069148966,333,772,330,263,73.967,77.375,44.617,40.697
