name,Control,Treatment,FDR,AveExpr,P value,CRTL1,CRTL2,T2,T1,CRTL1 CPM,CRTL2 CPM,T2 CPM,T1 CPM
proV,0,-1.51795790626726,0.0000587129351301031,8.83748358829062,6.12425173692686e-7,3673,8264,1683,1769,822.897,836.207,263.122,241.678
umuD,0,2.7179705777934,0.0000659082649902184,4.22700860273408,7.02423685836795e-7,33,79,267,356,7.393,7.994,41.743,48.636
sodB,0,-1.58642097971501,0.0000742989021835741,8.58915863750924,8.08695533970875e-7,3007,7512,1293,1554,673.686,760.115,202.149,212.305
dinG,0,1.48750740180367,0.0000750200880264014,7.04135031084836,8.50567891455799e-7,376,830,1348,1474,84.239,83.985,210.748,201.375
uvrD,0,1.5378025696459,0.0000750200880264014,8.39795863815351,8.44886645651901e-7,1027,1935,3322,4046,230.088,195.796,519.366,552.757
ymgA,0,-3.66921959624618,0.0000759211744660081,4.78818388975973,8.77999976817781e-7,569,871,54,44,127.478,88.134,8.442,6.011
uvrB,0,1.46679681249148,0.000103011557353344,8.82886441754254,0.00000125529914254068,1244,3041,4663,5002,278.705,307.709,729.020,683.365
uhpT,0,2.08250061581236,0.000103011557353344,5.2542408024166,0.00000125017032954056,101,175,496,495,22.628,17.708,77.545,67.626
ilvL,0,-1.92352291857211,0.000103011557353344,5.83372287937964,0.00000126136600840829,588,1067,186,186,131.735,107.966,29.079,25.411
pyrB,0,-2.14965426856765,0.000105187389611256,8.17738663726514,0.00000131186086816759,2912,6485,674,1138,652.403,656.196,105.374,155.472
cusA,0,1.47661887877794,0.000105384650993533,10.6645891332549,0.00000136211453665111,4916,9744,17187,17409,1101.378,985.964,2687.038,2378.387
yfdI,0,-1.67388552139375,0.000105384650993533,7.59037128262384,0.00000134049225573553,1614,3708,721,659,361.600,375.201,112.722,90.031
ybfA,0,-1.38971493117065,0.000106168622745981,7.37313751676486,0.00000147895034866196,1337,2725,633,675,299.541,275.734,98.964,92.217
hns,0,-1.42284766328058,0.000106168622745981,10.3953470206138,0.00000144880396568236,10113,24386,4995,5515,2265.710,2467.540,780.925,753.450
ilvD,0,1.32532311687822,0.000106168622745981,8.81898898023485,0.00000148385073759425,1437,2868,4275,4873,321.945,290.204,668.359,665.741
fdhE,0,1.37985208131245,0.000106168622745981,7.03415237547025,0.00000149262009302739,384,866,1258,1453,86.031,87.628,196.677,198.506
pyrI,0,-1.86314051973623,0.000106168622745981,7.09959492542914,0.00000146008509631705,1328,2620,370,566,297.524,265.109,57.846,77.326
flgJ,0,1.87793149178369,0.00010804650033266,5.29348125766106,0.00000154352143332372,92,225,480,487,20.612,22.767,75.044,66.533
fliS,0,2.31803739535709,0.000110815575715742,4.30992648787037,0.00000160820790154364,41,95,245,328,9.186,9.613,38.304,44.811
fliZ,0,1.63508109555569,0.000113904400458082,5.51635964860021,0.00000167886304530053,124,273,492,540,27.781,27.624,76.920,73.774
rdcB,0,1.68611698482252,0.000116046360882384,5.59846905255707,0.00000173674825810371,139,267,536,568,31.141,27.017,83.799,77.599
bfr,0,-1.54033836325617,0.000122392875214541,8.89076529058247,0.00000185948359169484,4372,7571,1639,1931,979.500,766.085,256.243,263.810
glcB,0,1.29091626467955,0.000123117310326732,7.72283184633929,0.00000189840750617183,640,1439,2005,2224,143.385,145.608,313.464,303.839
ycgR,0,1.91261065964321,0.000125924010872008,4.99530542480897,0.00000197023962588856,89,156,374,407,19.940,15.785,58.472,55.604
iraP,0,-2.72977704731917,0.00013301638502814,4.38966496783047,0.00000211137119092286,303,495,50,52,67.884,50.087,7.817,7.104
glcE,0,2.52739617136387,0.000149694213801112,3.88088367274485,0.00000241004289793173,25,71,228,233,5.601,7.184,35.646,31.832
