GENE,Control,Treatment,FDR,AveExpr,P value,CRTL1,CTRL2,CTRL3,T1,T2,T3,CRTL1 CPM,CTRL2 CPM,CTRL3 CPM,T1 CPM,T2 CPM,T3 CPM
dgkA,0,-2.06915848342603,0.0000207679295034057,4.50940534058519,1.48585574029434e-7,1949,1288,809,231,214,335,38.690,57.157,41.293,10.287,10.814,13.640
glpR,0,-2.26770380174825,0.0000207679295034057,4.46941944935093,1.34501493240394e-7,2348,1253,787,194,198,320,46.611,55.604,40.170,8.639,10.006,13.029
,0,2.22661868093116,0.0000207679295034057,5.45555986121477,1.47444552620976e-7,971,487,354,2374,2189,1985,19.276,21.611,18.069,105.722,110.617,80.823
eptC,0,-3.0394689131941,0.0000207679295034057,6.45918353821706,1.32718484426582e-7,13421,8166,3027,744,606,751,266.425,362.377,154.504,33.133,30.623,30.578
pilV,0,-2.22754822015335,0.0000207679295034057,5.39381329000447,1.4325002390342e-7,4170,2148,1682,389,491,464,82.780,95.320,85.852,17.323,24.812,18.893
ampC,0,-2.79738694135084,0.0000221625357441121,6.70855671180651,1.61866783643091e-7,15439,8228,3415,836,831,1052,306.485,365.128,174.308,37.230,41.993,42.834
,0,2.618828982649,0.0000225577914966967,4.49176544284429,1.71478218263755e-7,385,217,180,1600,1188,1093,7.643,9.630,9.188,71.253,60.033,44.503
desB,0,-2.73470839245197,0.0000225577914966967,6.44960952587302,1.6933105650708e-7,9699,5239,4483,780,891,682,192.538,232.488,228.821,34.736,45.025,27.769
,0,-1.7878662550825,0.0000230094873668667,4.9871408193912,1.80654983863519e-7,2632,1451,1072,390,334,461,52.249,64.390,54.717,17.368,16.878,18.770
,0,-2.06544119575006,0.0000230094873668667,5.12473200373874,1.81771177588901e-7,3325,1727,1270,319,387,484,66.006,76.638,64.823,14.206,19.556,19.707
,0,-2.46566526096702,0.000026597269880127,8.47391096739563,2.14078487632562e-7,39220,20773,14391,2808,3434,4335,778.570,921.829,734.543,125.050,173.531,176.507
,0,2.28172178954499,0.0000270572658521999,7.00602424832815,2.21813924857802e-7,2586,1631,943,7734,5608,6337,51.336,72.378,48.132,344.421,283.390,258.022
pilW,0,-2.07720627703105,0.0000295192531600385,6.20439462441687,2.49785163972244e-7,7055,3877,2558,842,842,785,140.051,172.047,130.565,37.497,42.549,31.963
